19870502,20480740
4867778,5188028
4247542,4438459
4506234,4866516
4181135,4365606
3846577,3967069
4022311,4151873
10185897,10426696
4513952,4702407
8447289,8620680
10204074,10341178
4525921,4635165
29581675,29691787
33901363,34067109
36896755,37002805
8928821,9133836
14311065,14497819
24757862,24965350
9678938,10002585
5543210,5703099
3802048,3924668
5743580,5918514
4266737,4437628
3850564,3992389
8123338,8297685
3768621,3896486
10975427,11078719
11584406,11688245
4172726,4384107
10829474,11018874
7443504,7554836
12370706,12468928
17525608,17622854
4233617,4434251
7428855,7669445
8300139,8452792
4191528,4368767
3788013,3899249
9769698,9954462
19664160,19798634
25133471,25272456
35394024,35529881
31880850,32016016
8869819,9059953
4581085,4744796
17250968,17490330
20754719,20862040
29218192,29370495
43891396,44010236
39520307,39633098
4104819,4253362
3709598,3814481
4983260,5219902
5894721,6144849
3963859,4128317
4189136,4374774
3806886,3908673
3682699,3781049
4154139,4362491
3796725,3895762
3706988,3842282
7557769,7681445
4302819,4519805
8070803,8219689
5114209,5265893
14818881,15040761
15319316,15463428
20896946,21017779
4431717,4607972
5195233,5642448
6554137,6685430
15044619,15194439
7325436,7428361
27425311,27554646
8041088,8135684
8308951,8486380
3976535,4170048
4158916,4329227
3583802,3706188
3842685,3961176
8361006,8463777
15926409,16049808
16546304,16664526
12046378,12152150
3835294,3940435
7883983,7986926
4193285,4410417
6540624,6762421
3913999,4058277
6114866,6317545
4107308,4290055
10114497,10220831
10640873,10809188
22558041,22666327
22891993,22975626
37040669,37168269
29944594,30041761
18341630,18445439
6145139,6392784
10502403,10613555
11547296,11647974
16803833,16910867
4228739,4407220
3585923,3703961
6017193,6131789
17004071,17110050
18351371,18457996
15815736,15946661
27026159,27148050
13872714,14261726
35724862,35843096
40586989,40737431
4482195,4691592
4019348,4231383
4546874,4694225
8920827,9021094
3572615,3679550
11405228,11505390
11204985,11303154
3910157,4020036
3719625,3838150
3871343,4029290
4419101,4633966
8004107,8419106
9092800,9194674
8699751,9084906
10739520,10836536
20059592,20220361
20913128,21023413
4036128,4185127
12743660,12897846
7983047,8151670
12710879,12873671
4776402,4926572
7450701,7563235
7951017,8068761
3785855,3971109
3812409,3914975
12953478,13062380
12655067,12775605
6877262,6975249
12619717,12794741
3725806,3846296
4043638,4193481
3629087,3743322
3499048,3593501
4194281,4410038
3595788,3690856
7494686,7629222
7877957,8040880
3700210,3793964
4661865,4846699
8280687,8381363
3599595,3691706
4216807,4407971
3733384,3890959
9486942,9887984
5882530,6030460
7521263,7610386
6289254,6383981
7877717,7995177
6156145,6306256
5311958,5455866
9167436,9306851
11306199,11474006
20279224,20374413
16555094,16680700
3921923,4111717
3753909,3916526
4167652,4421292
4391724,4689522
4164967,4430365
4131708,4361581
4207437,4397035
8623110,8767387
3694553,3797612
4313355,4631466
4124047,4427929
